participant,condition,time
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
a,p95,100
