participant,condition,time
J,08S,360
J,08S,360
J,08S,360
J,08S,360
J,08S,360
J,08S,360
J,08S,360
J,08S,360
J,08S,360
J,08S,360
J,08S,360
J,08S,360
J,08S,360
J,08S,360
J,08S,360
J,08S,360
J,08S,360
J,08S,360
J,08S,360
J,08S,360
J,08S,360
J,08S,360
J,08S,360
J,08S,370
J,08S,370
J,08S,380
J,08S,380
J,08S,380
J,08S,380
J,08S,380
J,08S,390
J,08S,390
J,08S,390
J,08S,390
J,08S,400
J,08S,400
J,08S,400
J,08S,400
J,08S,400
J,08S,400
J,08S,410
J,08S,410
J,08S,410
J,08S,410
J,08S,410
J,08S,410
J,08S,420
J,08S,420
J,08S,420
J,08S,420
J,08S,420
J,08S,420
J,08S,420
J,08S,430
J,08S,430
J,08S,430
J,08S,440
J,08S,440
J,08S,440
J,08S,440
J,08S,440
J,08S,440
J,08S,440
J,08S,440
J,08S,440
J,08S,440
J,08S,450
J,08S,450
J,08S,450
J,08S,450
J,08S,450
J,08S,450
J,08S,450
J,08S,450
J,08S,450
J,08S,450
J,08S,450
J,08S,450
J,08S,450
J,08S,450
J,08S,460
J,08S,460
J,08S,460
J,08S,460
J,08S,460
J,08S,460
J,08S,460
J,08S,460
J,08S,460
J,08S,460
J,08S,460
J,08S,470
J,08S,470
J,08S,470
J,08S,470
J,08S,470
J,08S,470
J,08S,470
J,08S,470
J,08S,470
J,08S,470
J,08S,470
J,08S,470
J,08S,470
J,08S,480
J,08S,480
J,08S,480
J,08S,480
J,08S,480
J,08S,480
J,08S,480
J,08S,480
J,08S,480
J,08S,480
J,08S,480
J,08S,480
J,08S,480
J,08S,480
J,08S,490
J,08S,490
J,08S,490
J,08S,490
J,08S,490
J,08S,490
J,08S,490
J,08S,490
J,08S,490
J,08S,490
J,08S,490
J,08S,490
J,08S,500
J,08S,500
J,08S,500
J,08S,500
J,08S,500
J,08S,500
J,08S,500
J,08S,500
J,08S,500
J,08S,500
J,08S,500
J,08S,500
J,08S,500
J,08S,500
J,08S,500
J,08S,500
J,08S,500
J,08S,500
J,08S,500
J,08S,510
J,08S,510
J,08S,510
J,08S,510
J,08S,510
J,08S,510
J,08S,510
J,08S,510
J,08S,510
J,08S,510
J,08S,510
J,08S,510
J,08S,510
J,08S,510
J,08S,520
J,08S,520
J,08S,520
J,08S,520
J,08S,520
J,08S,520
J,08S,520
J,08S,520
J,08S,520
J,08S,520
J,08S,520
J,08S,520
J,08S,520
J,08S,520
J,08S,520
J,08S,520
J,08S,520
J,08S,520
J,08S,530
J,08S,530
J,08S,530
J,08S,530
J,08S,530
J,08S,530
J,08S,530
J,08S,530
J,08S,530
J,08S,530
J,08S,530
J,08S,530
J,08S,530
J,08S,530
J,08S,540
J,08S,540
J,08S,540
J,08S,540
J,08S,540
J,08S,540
J,08S,540
J,08S,540
J,08S,540
J,08S,540
J,08S,540
J,08S,540
J,08S,550
J,08S,550
J,08S,550
J,08S,550
J,08S,550
J,08S,550
J,08S,550
J,08S,550
J,08S,550
J,08S,550
J,08S,550
J,08S,550
J,08S,560
J,08S,560
J,08S,560
J,08S,560
J,08S,560
J,08S,560
J,08S,560
J,08S,560
J,08S,560
J,08S,560
J,08S,560
J,08S,560
J,08S,560
J,08S,560
J,08S,560
J,08S,570
J,08S,570
J,08S,570
J,08S,570
J,08S,570
J,08S,570
J,08S,570
J,08S,570
J,08S,580
J,08S,580
J,08S,580
J,08S,580
J,08S,580
J,08S,580
J,08S,580
J,08S,580
J,08S,580
J,08S,580
J,08S,580
J,08S,580
J,08S,580
J,08S,580
J,08S,580
J,08S,580
J,08S,580
J,08S,580
J,08S,580
J,08S,580
J,08S,590
J,08S,590
J,08S,590
J,08S,590
J,08S,590
J,08S,590
J,08S,590
J,08S,590
J,08S,590
J,08S,590
J,08S,600
J,08S,600
J,08S,600
J,08S,600
J,08S,600
J,08S,600
J,08S,600
J,08S,600
J,08S,610
J,08S,610
J,08S,610
J,08S,610
J,08S,610
J,08S,610
J,08S,610
J,08S,610
J,08S,610
J,08S,610
J,08S,620
J,08S,620
J,08S,620
J,08S,620
J,08S,620
J,08S,630
J,08S,630
J,08S,630
J,08S,630
J,08S,630
J,08S,630
J,08S,630
J,08S,630
J,08S,630
J,08S,630
J,08S,630
J,08S,630
J,08S,630
J,08S,640
J,08S,640
J,08S,640
J,08S,640
J,08S,640
J,08S,640
J,08S,640
J,08S,640
J,08S,640
J,08S,640
J,08S,640
J,08S,640
J,08S,640
J,08S,640
J,08S,640
J,08S,640
J,08S,640
J,08S,640
J,08S,650
J,08S,650
J,08S,650
J,08S,660
J,08S,660
J,08S,660
J,08S,660
J,08S,660
J,08S,660
J,08S,660
J,08S,660
J,08S,670
J,08S,670
J,08S,670
J,08S,670
J,08S,670
J,08S,670
J,08S,670
J,08S,680
J,08S,680
J,08S,690
J,08S,690
J,08S,690
J,08S,690
J,08S,690
J,08S,690
J,08S,700
J,08S,700
J,08S,700
J,08S,700
J,08S,700
J,08S,700
J,08S,710
J,08S,710
J,08S,710
J,08S,710
J,08S,710
J,08S,730
J,08S,730
J,08S,730
J,08S,740
J,08S,740
J,08S,740
J,08S,740
J,08S,740
J,08S,740
J,08S,740
J,08S,740
J,08S,770
J,08S,780
J,08S,780
J,08S,810
J,08S,820
J,08S,830
J,08S,840
J,08S,840
J,08S,850
J,08S,860
J,08S,870
J,08S,880
J,08S,890
J,08S,900
J,08S,910
J,08S,930
J,08S,940
J,08S,960
J,08S,980
J,08S,1010
J,08S,1040
J,08S,1070
J,08S,1120
J,08S,1190
J,08S,1310
J,08S,1630
J,16S,330
J,16S,330
J,16S,330
J,16S,330
J,16S,330
J,16S,330
J,16S,330
J,16S,330
J,16S,330
J,16S,330
J,16S,330
J,16S,330
J,16S,330
J,16S,330
J,16S,330
J,16S,330
J,16S,330
J,16S,330
J,16S,330
J,16S,330
J,16S,330
J,16S,340
J,16S,340
J,16S,340
J,16S,340
J,16S,340
J,16S,340
J,16S,340
J,16S,340
J,16S,340
J,16S,340
J,16S,340
J,16S,340
J,16S,340
J,16S,340
J,16S,340
J,16S,340
J,16S,340
J,16S,350
J,16S,350
J,16S,350
J,16S,350
J,16S,350
J,16S,350
J,16S,350
J,16S,350
J,16S,350
J,16S,350
J,16S,350
J,16S,350
J,16S,350
J,16S,350
J,16S,350
J,16S,350
J,16S,350
J,16S,350
J,16S,350
J,16S,360
J,16S,360
J,16S,360
J,16S,360
J,16S,360
J,16S,360
J,16S,360
J,16S,360
J,16S,360
J,16S,360
J,16S,360
J,16S,360
J,16S,360
J,16S,360
J,16S,360
J,16S,360
J,16S,360
J,16S,360
J,16S,360
J,16S,360
J,16S,370
J,16S,370
J,16S,370
J,16S,370
J,16S,370
J,16S,370
J,16S,370
J,16S,370
J,16S,370
J,16S,370
J,16S,370
J,16S,370
J,16S,370
J,16S,370
J,16S,370
J,16S,370
J,16S,370
J,16S,370
J,16S,370
J,16S,370
J,16S,370
J,16S,370
J,16S,370
J,16S,370
J,16S,370
J,16S,370
J,16S,370
J,16S,370
J,16S,370
J,16S,370
J,16S,370
J,16S,370
J,16S,370
J,16S,370
J,16S,370
J,16S,380
J,16S,380
J,16S,380
J,16S,380
J,16S,380
J,16S,380
J,16S,380
J,16S,380
J,16S,380
J,16S,380
J,16S,380
J,16S,380
J,16S,380
J,16S,380
J,16S,380
J,16S,380
J,16S,380
J,16S,380
J,16S,380
J,16S,380
J,16S,380
J,16S,380
J,16S,380
J,16S,390
J,16S,390
J,16S,390
J,16S,390
J,16S,390
J,16S,390
J,16S,390
J,16S,390
J,16S,390
J,16S,390
J,16S,390
J,16S,390
J,16S,390
J,16S,390
J,16S,390
J,16S,390
J,16S,390
J,16S,390
J,16S,390
J,16S,390
J,16S,390
J,16S,390
J,16S,390
J,16S,390
J,16S,390
J,16S,390
J,16S,390
J,16S,390
J,16S,400
J,16S,400
J,16S,400
J,16S,400
J,16S,400
J,16S,400
J,16S,400
J,16S,400
J,16S,400
J,16S,400
J,16S,400
J,16S,400
J,16S,400
J,16S,400
J,16S,400
J,16S,400
J,16S,400
J,16S,400
J,16S,400
J,16S,400
J,16S,400
J,16S,400
J,16S,400
J,16S,400
J,16S,400
J,16S,400
J,16S,400
J,16S,410
J,16S,410
J,16S,410
J,16S,410
J,16S,410
J,16S,410
J,16S,410
J,16S,410
J,16S,410
J,16S,410
J,16S,410
J,16S,410
J,16S,410
J,16S,410
J,16S,410
J,16S,410
J,16S,410
J,16S,410
J,16S,410
J,16S,410
J,16S,410
J,16S,410
J,16S,410
J,16S,410
J,16S,410
J,16S,410
J,16S,410
J,16S,410
J,16S,410
J,16S,410
J,16S,410
J,16S,410
J,16S,420
J,16S,420
J,16S,420
J,16S,420
J,16S,420
J,16S,420
J,16S,420
J,16S,420
J,16S,420
J,16S,420
J,16S,420
J,16S,420
J,16S,420
J,16S,420
J,16S,420
J,16S,420
J,16S,420
J,16S,420
J,16S,420
J,16S,420
J,16S,420
J,16S,420
J,16S,420
J,16S,430
J,16S,430
